peak_heights,prominences,left_bases,right_bases,peaks,Energie 1/2,Energie
438.2512445095168,200.38916544655928,482,650,620,-3.54631+/-0.00030,-7.0926+/-0.0006
1284.2948755490484,1225.7783308931187,47,2709,753,11.63790+/-0.00030,23.2758+/-0.0006
896.0295754026355,650.2983894582724,806,1729,904,28.87711+/-0.00030,57.7542+/-0.0006
305.5566617862372,128.69809663250368,996,1181,1100,51.25385+/-0.00030,102.5077+/-0.0006
368.0767203513909,191.7818448023426,996,1729,1405,86.07478+/-0.00030,172.1496+/-0.0006
294.4257686676427,50.956368960468495,1501,1729,1507,97.71981+/-0.00030,195.4396+/-0.0006
1050.4222547584188,910.083748169839,1729,2709,1810,132.31242+/-0.00030,264.6248+/-0.0006
918.1674963396779,830.2617862371889,2221,2709,2353,194.30510+/-0.00030,388.6102+/-0.0006
157.64743777452415,90.99999999999999,2532,2709,2618,224.55935+/-0.00030,449.1187+/-0.0006
1651.1238653001465,1607.0401171303074,47,3341,2868,253.10110+/-0.00030,506.2022+/-0.0006
2523.254758418741,2519.82196193265,47,6031,3416,315.66462+/-0.00030,631.3292+/-0.0006
1257.6038067349928,1249.9528550512446,5751,6031,5909,600.28295+/-0.00030,1200.5659+/-0.0006
59.563689604685216,54.91273792093705,6031,7271,6458,662.96063+/-0.00030,1325.9213+/-0.0006
135.3891654465593,130.78184480234262,6031,7784,7449,776.10013+/-0.00030,1552.2003+/-0.0006
